customer_id,owner,action_taken,intervention_status
1,Retention Team A,Discount,Churned
2,Retention Team A,Discount,Pending
3,Retention Team B,Discount,Churned
4,Retention Team A,Discount,Churned
5,Retention Team B,Call,Contacted
6,Retention Team B,Call,Contacted
7,Retention Team A,Email,Pending
8,Retention Team B,Discount,Churned
9,Retention Team A,Call,Retained
10,Retention Team A,Call,Contacted
11,Retention Team A,Email,Retained
12,Retention Team A,Email,Pending
13,Retention Team A,Email,Contacted
14,Retention Team A,Call,Contacted
15,Retention Team B,Call,Churned
16,Retention Team B,Email,Pending
17,Retention Team B,Discount,Churned
18,Retention Team B,Email,Contacted
19,Retention Team A,Email,Pending
20,Retention Team B,Email,Contacted
21,Retention Team B,Email,Pending
22,Retention Team B,Call,Contacted
23,Retention Team A,Discount,Retained
24,Retention Team B,Email,Retained
25,Retention Team A,Discount,Churned
26,Retention Team B,Discount,Retained
27,Retention Team A,Discount,Contacted
28,Retention Team A,Email,Contacted
29,Retention Team B,Call,Retained
30,Retention Team A,Email,Churned
31,Retention Team A,Discount,Retained
32,Retention Team B,Discount,Pending
33,Retention Team B,Call,Pending
34,Retention Team B,Email,Pending
35,Retention Team A,Discount,Retained
36,Retention Team A,Call,Retained
37,Retention Team A,Discount,Retained
38,Retention Team B,Call,Pending
39,Retention Team A,Call,Churned
40,Retention Team A,Email,Contacted
41,Retention Team A,Discount,Retained
42,Retention Team A,Email,Churned
43,Retention Team A,Discount,Contacted
44,Retention Team A,Email,Contacted
45,Retention Team A,Discount,Contacted
46,Retention Team B,Email,Churned
47,Retention Team B,Call,Churned
48,Retention Team B,Discount,Pending
49,Retention Team A,Discount,Churned
50,Retention Team A,Call,Churned
51,Retention Team B,Email,Churned
52,Retention Team A,Discount,Contacted
53,Retention Team B,Discount,Retained
54,Retention Team A,Email,Pending
55,Retention Team A,Call,Retained
56,Retention Team B,Email,Retained
57,Retention Team B,Email,Churned
58,Retention Team B,Email,Pending
59,Retention Team B,Discount,Retained
60,Retention Team B,Call,Retained
61,Retention Team A,Call,Pending
62,Retention Team A,Email,Churned
63,Retention Team A,Discount,Retained
64,Retention Team B,Email,Contacted
65,Retention Team B,Discount,Retained
66,Retention Team B,Discount,Contacted
67,Retention Team B,Discount,Churned
68,Retention Team B,Discount,Retained
69,Retention Team B,Call,Pending
70,Retention Team A,Discount,Pending
71,Retention Team A,Discount,Retained
72,Retention Team A,Email,Churned
73,Retention Team A,Email,Churned
74,Retention Team A,Call,Pending
75,Retention Team B,Email,Retained
76,Retention Team B,Discount,Churned
77,Retention Team B,Email,Pending
78,Retention Team B,Call,Contacted
79,Retention Team B,Email,Retained
80,Retention Team B,Email,Contacted
81,Retention Team A,Call,Contacted
82,Retention Team B,Call,Churned
83,Retention Team B,Discount,Churned
84,Retention Team B,Email,Churned
85,Retention Team B,Discount,Retained
86,Retention Team A,Email,Contacted
87,Retention Team A,Email,Retained
88,Retention Team B,Discount,Churned
89,Retention Team A,Email,Contacted
90,Retention Team A,Email,Retained
91,Retention Team B,Email,Retained
92,Retention Team B,Call,Pending
93,Retention Team B,Discount,Retained
94,Retention Team B,Call,Churned
95,Retention Team B,Discount,Retained
96,Retention Team A,Discount,Contacted
97,Retention Team B,Email,Retained
98,Retention Team B,Discount,Pending
99,Retention Team B,Call,Contacted
100,Retention Team A,Call,Contacted
101,Retention Team B,Call,Pending
102,Retention Team B,Discount,Churned
103,Retention Team B,Call,Contacted
104,Retention Team A,Discount,Churned
105,Retention Team B,Call,Contacted
106,Retention Team B,Call,Contacted
107,Retention Team B,Discount,Churned
108,Retention Team A,Call,Contacted
109,Retention Team B,Email,Churned
110,Retention Team B,Discount,Pending
111,Retention Team B,Discount,Churned
112,Retention Team A,Discount,Pending
113,Retention Team B,Email,Contacted
114,Retention Team B,Discount,Churned
115,Retention Team B,Call,Contacted
116,Retention Team A,Call,Churned
117,Retention Team A,Call,Pending
118,Retention Team B,Discount,Pending
119,Retention Team A,Call,Churned
120,Retention Team A,Discount,Pending
121,Retention Team A,Call,Contacted
122,Retention Team B,Email,Contacted
123,Retention Team B,Email,Retained
